id,name,screenshot_urls
4459,Grand Theft Auto IV,"[""https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg"", ""https://media.rawg.io/media/screenshots/07f/07f7cf80741ff306e4eca982c3e64ac8.jpg"", ""https://media.rawg.io/media/screenshots/fef/fefd51ec13aa33acbd796ef79bcef7cb.jpg"", ""https://media.rawg.io/media/screenshots/b78/b78ffd258d5793be704c380e572748bc.jpg"", ""https://media.rawg.io/media/screenshots/17c/17c85ab9dfc4fda8e1e5ba72932ef2bf.jpg""]"
3272,Rocket League,"[""https://media.rawg.io/media/games/8cc/8cce7c0e99dcc43d66c8efd42f9d03e3.jpg"", ""https://media.rawg.io/media/screenshots/6a0/6a0745d9dcd0f7a368d372260baf91aa.jpg"", ""https://media.rawg.io/media/screenshots/5ea/5ea8ab6a35f189489b2ec8713d4f1619.jpg"", ""https://media.rawg.io/media/screenshots/508/5083fd170bf10606afd12afc7d17db04.jpg"", ""https://media.rawg.io/media/screenshots/02d/02d36e8e01a9f1063c6431ce09324e24.jpg""]"
278,Horizon Zero Dawn,"[""https://media.rawg.io/media/games/b7d/b7d3f1715fa8381a4e780173a197a615.jpg"", ""https://media.rawg.io/media/screenshots/9cc/9cc79c34d70e437f3931f8476c384f43.jpg"", ""https://media.rawg.io/media/screenshots/898/898c2b3a6985f964cd65d55d9d323dbd.jpg"", ""https://media.rawg.io/media/screenshots/c44/c44b7da5fcbf57d740a7bafe435d555e.jpg"", ""https://media.rawg.io/media/screenshots/c8c/c8cbefacf83746eadc23f19531676304.jpg""]"
29028,Metro 2033,"[""https://media.rawg.io/media/games/120/1201a40e4364557b124392ee50317b99.jpg"", ""https://media.rawg.io/media/screenshots/e79/e7946cab379370fdef03c2e2c9dfcce3.jpg"", ""https://media.rawg.io/media/screenshots/ad4/ad433938bd2377b1beaa8a184bb67405.jpg"", ""https://media.rawg.io/media/screenshots/28e/28e63b7f13e9ec24ad64ef5ae75e258c.jpg"", ""https://media.rawg.io/media/screenshots/b99/b99a0bf0f09991d76ad13c65f7e64562.jpg""]"
7689,Rise of the Tomb Raider,"[""https://media.rawg.io/media/games/b45/b45575f34285f2c4479c9a5f719d972e.jpg"", ""https://media.rawg.io/media/screenshots/fbf/fbff1fe1f3cbe33dec8b2fc98bbad4a4.jpg"", ""https://media.rawg.io/media/screenshots/c18/c187789c40eea061a44c3fb497059c01.jpg"", ""https://media.rawg.io/media/screenshots/256/256472a369b9f52cfe0b8e85eb49ef19.jpg"", ""https://media.rawg.io/media/screenshots/38a/38a67aab95a0a5f9fe1a40821a63f0c6.jpg""]"
3287,Batman: Arkham Knight,"[""https://media.rawg.io/media/games/310/3106b0e012271c5ffb16497b070be739.jpg"", ""https://media.rawg.io/media/screenshots/1ed/1ed7f33789fdb79dbe7ae346f7b24fdf.jpg"", ""https://media.rawg.io/media/screenshots/c19/c19a4d55f1fa9661b32d43e110a5dbff.jpg"", ""https://media.rawg.io/media/screenshots/b87/b873d09e51115514cb1445a954dbca9e.jpg"", ""https://media.rawg.io/media/screenshots/cbe/cbee51d83cafbe75224336859ddfc27e.jpg""]"
3192,Metal Gear Solid V: The Phantom Pain,"[""https://media.rawg.io/media/games/490/49016e06ae2103881ff6373248843069.jpg"", ""https://media.rawg.io/media/screenshots/fa0/fa0cb095629729fb990079d0ec135dae.jpg"", ""https://media.rawg.io/media/screenshots/768/768087f6fbfae3b1fa7533c38bda35a0.jpg"", ""https://media.rawg.io/media/screenshots/40b/40bf3a64adc8e3b6ffadd1420b1bd250.jpg"", ""https://media.rawg.io/media/screenshots/344/3447022b021fb337970aaa16e9adfa1f.jpg""]"
290856,Apex Legends,"[""https://media.rawg.io/media/games/737/737ea5662211d2e0bbd6f5989189e4f1.jpg"", ""https://media.rawg.io/media/screenshots/a59/a593423f503eae7f29cd642827cda18d.jpg"", ""https://media.rawg.io/media/screenshots/e7a/e7a1e5ec1b9861c340cdbef43bb47678.jpg"", ""https://media.rawg.io/media/screenshots/76e/76e5b435f9ba8ed79da0e5dd25762075.jpg"", ""https://media.rawg.io/media/screenshots/b4b/b4b3c320a4a3965d5da85406dcd05b77.jpg""]"
16944,The Witcher 2: Assassins of Kings Enhanced Edition,"[""https://media.rawg.io/media/games/6cd/6cd653e0aaef5ff8bbd295bf4bcb12eb.jpg"", ""https://media.rawg.io/media/screenshots/0c2/0c2a61b9c675c79be87bb3932779062c.jpg"", ""https://media.rawg.io/media/screenshots/361/36171d84641951be2ca964b667d55d54.jpg"", ""https://media.rawg.io/media/screenshots/336/3366909fa35d542c7293df9d6b4d0aac.jpg"", ""https://media.rawg.io/media/screenshots/c67/c672445939555d23ab0acbeba2d4527f.jpg""]"
416,Grand Theft Auto: San Andreas,"[""https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg"", ""https://media.rawg.io/media/screenshots/679/679c267107151f01696d3c8ea71ac650.jpg"", ""https://media.rawg.io/media/screenshots/560/560610b498ef079e1f45ec83b039cbc7.jpg"", ""https://media.rawg.io/media/screenshots/c8c/c8cf7ea395e6aa2e46abee36d9d2d699.jpg"", ""https://media.rawg.io/media/screenshots/191/191445072d9e85b6ad7ffed5152fc17a.jpg""]"
