id,name,slug,games_count,image_background
66,Medieval,medieval,7741,https://media.rawg.io/media/games/4e0/4e0e7b6d6906a131307c94266e5c9a1c.jpg
145,Choices Matter,choices-matter,7713,https://media.rawg.io/media/games/704/704f831d2d132e9614931f1c4eab9e86.jpg
822,escape,escape,7642,https://media.rawg.io/media/games/acf/acf26d699ac392c014656f7fb3224d3d.jpg
34,Violent,violent,7584,https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg
668,creepy,creepy,7581,https://media.rawg.io/media/screenshots/0a2/0a2085ed3bc671519644f71c9d797ebf.jpg
7808,steam-trading-cards,steam-trading-cards,7568,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
739,Game Jam,game-jam,7536,https://media.rawg.io/media/screenshots/6f0/6f0662a4bfdfde57ef048f640ec9f5e8.jpg
1497,car,car,7465,https://media.rawg.io/media/screenshots/906/9064630f2c343ef86f8910fe55c878eb_8WZ8s7b.jpg
172,Aliens,aliens,7391,https://media.rawg.io/media/games/ae1/ae1518c3dc1e847344661905fd2a8d16.jpg
171,PvE,pve,7371,https://media.rawg.io/media/games/d0f/d0f91fe1d92332147e5db74e207cfc7a.jpg
179,Cartoon,cartoon,7369,https://media.rawg.io/media/screenshots/484/4848bcf4deb6eeb3228048c7497dc1a6.jpg
844,simulator,simulator,7354,https://media.rawg.io/media/screenshots/8eb/8ebbf28eaa533e34d3d1e9dc64a39265.jpg
59643,Протагонистка,protagonistka,7349,https://media.rawg.io/media/games/91d/91ddeef8d5ebee7f21faa89efa0f2201.jpg
84,Abstract,abstract,7331,https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg
905,Animals,animals,7324,https://media.rawg.io/media/games/9dc/9dc9fbd2c2054a3a9b7c33a906546bea.jpg
39,Building,building,7260,https://media.rawg.io/media/games/d03/d030347839f74454afcd1008248b08ae.jpg
9,Online Co-Op,online-co-op,7236,https://media.rawg.io/media/games/c6b/c6bfece1daf8d06bc0a60632ac78e5bf.jpg
1079,environment,environment,7127,https://media.rawg.io/media/games/ee4/ee4579271e2c774fa65b9e62145b1e63.jpg
774,nature,nature,7044,https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg
715,Text based,text-based-2,6961,https://media.rawg.io/media/screenshots/2c9/2c99f6a2d11958cd83357422a6ce4bff.jpg
15,Stealth,stealth,6949,https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg
1407,race,race,6797,https://media.rawg.io/media/screenshots/085/08553ac02c3d79bba1703dd4dc967b68.jpg
626,cats,cats,6711,https://media.rawg.io/media/screenshots/bed/bed0c5b98bc567f3865148250c324640.jpg
167,Futuristic,futuristic,6630,https://media.rawg.io/media/games/e1f/e1ffbeb1bac25b19749ad285ca29e158.jpg
672,High Score,high-score,6565,https://media.rawg.io/media/screenshots/7e8/7e8e901d8d3a9450f83038956e5cdc1a.jpg
413,online,online,6555,https://media.rawg.io/media/games/af2/af2b640fa820e8a8135948a4cd399539.jpg
160,Dating Sim,dating-sim,6522,https://media.rawg.io/media/games/a6c/a6cd31267a20a615d35f618e766208fc.jpg
3612,match,match,6506,https://media.rawg.io/media/games/6b4/6b4353172a07d3c4c83fa731f7ddaee6.jpg
3189,color,color,6500,https://media.rawg.io/media/screenshots/0aa/0aaf1e17b80bb1abfeb7347e69052350.jpg
26,Gore,gore,6423,https://media.rawg.io/media/games/7f6/7f6cd70ba2ad57053b4847c13569f2d8.jpg
892,love,love,6381,https://media.rawg.io/media/games/8dd/8dd95766d6f1dfcfe47128a82ed22699.jpg
